Id,Name,Relationship,Email
1,Elena Zangari,Family_B,elena@gmail.com
2,Pasquale Tangredi,Family_B,lino@gmail.com
3,Chloe Tangredi,Family_B,chloe@gmail.com
4,Cathy Lopez,Family_B,cathy@gmail.com
5,Carmine Marcarella,Family_G,carmine@gmail.com
6,Selina Marcarella,Family_G,selina@gmail.com
7,Josephine Gurreri,Friend_G,josephine@gmail.com
8,Massimo Romeo,Friend_G,massimo@gmail.com
9,Dominic Agnelli,Family_B,dominic@gmail.com
10,Ryan Fontes,Friend_G,ryan@gmail.com
11,Rick Novak,Friend_G,rick@gmail.com
12,Susan Connor,Friend_G,susan@gmail.com
13,Margaret Adelman,Friend_G,marg@gmail.com
14,Ronald Barr,Friend_G,ronald@gmail.com
15,Marie Broadbet,Friend_G,mariee@gmail.com
16,Roger Lum,Friend_G,roger@gmail.com
17,Marlene Donahue,Friend_G,marlene@gmail.com
18,Jeff Johnson,Friend_G,jeff@gmail.com
19,Melvin Forbis,Friend_G,melvin@gmail.com
20,Melissa Banoen-Garde,Friend_B,mel@gmail.com
21,Lisandra Bautista,Friend_B,lisandra@gmail.com
22,Helene Buffet,Friend_B,helene@gmail.com
23,Reed Copeland,Friend_B,reed@gmail.com
24,Hugo Dulac,Friend_B,hugo@gmail.com
25,Etienne Forcet,Friend_B,etienne@gmail.com
26,Suraj Gopal,Friend_B,suraj@gmail.com
27,Vinh Tho Hoang,Friend_B,vinh@gmail.com
28,Jessica Iacovozzi,Friend_B,jessica@gmail.com
29,Nea Noc,Friend_B,nea@gmail.com
30,Nifemi Oyekunle,Friend_B,nifemi@gmail.com
31,Jin Qi,Friend_B,jin@gmail.com
32,Giovanni Reid,Friend_B,giovanni@gmail.com
33,Kevin Reyes,Friend_B,kevin@gmail.com
34,Anabelle Rogers,Friend_B,anabelle@gmail.com
35,Eva Roux,Friend_B,eva@gmail.com
36,Jackson Smylie,Friend_B,jackson@gmail.com
37,Alex Trimper,Friend_B,alex@gmail.com
38,Elyse Turpin,Friend_B,elyse@gmail.com
39,Andrew Wever,Friend_B,andrew@gmail.com
40,Richard Young,Friend_B,richard@gmail.com
41,Arstanbek Zholochu Tegini,Friend_B,arstanbek@gmail.com
42,Hanbyeol Kwon,Frined_B,dreijanuar@gmail.com
